"CHE-INC-CNM-430","Chemistry","Chemistry of Non-metals","Sulfuric acid","The overall conversion in Contact process is improved by:","Removing SO₃ as it forms","Adding water directly to SO₃ tower","Using no catalyst","Reducing oxygen supply to zero","A","Removal of product shifts equilibrium toward SO₃ formation."
"CHE-INC-CNM-431","Chemistry","Chemistry of Non-metals","Hydrogen","Which gas is produced when steam is passed over red hot iron?","Hydrogen","Chlorine","Ammonia","Ozone","A","Steam reacts with hot iron to produce hydrogen and iron oxide."
"CHE-INC-CNM-432","Chemistry","Chemistry of Non-metals","Hydrogen","The reaction of hydrogen with metal oxides is useful in metallurgy because hydrogen acts as:","Reducing agent","Oxidizing agent","Flux","Slag","A","Hydrogen can reduce certain metal oxides to metals."
"CHE-INC-CNM-433","Chemistry","Chemistry of Non-metals","Hydrogen","Which isotope of hydrogen has one proton, one electron and two neutrons in neutral atom?","Tritium","Deuterium","Protium","Hydride","A","Tritium has one proton, one electron and two neutrons."
"CHE-INC-CNM-434","Chemistry","Chemistry of Non-metals","Heavy water","In D₂O, the oxidation state of deuterium is:","+1","0","-1","+2","A","Deuterium behaves chemically like hydrogen with oxidation state +1 in water."
"CHE-INC-CNM-435","Chemistry","Chemistry of Non-metals","Oxides","The oxide that reacts with water to give a strong acid is:","SO₃","CO","CaO","NO","A","SO₃ forms strong sulfuric acid with water."
"CHE-INC-CNM-436","Chemistry","Chemistry of Non-metals","Oxides","Which oxide is likely to dissolve in alkali but not in acid as a basic oxide?","CO₂","CaO","Na₂O","MgO","A","CO₂ is acidic and dissolves in alkali to form carbonate."
"CHE-INC-CNM-437","Chemistry","Chemistry of Non-metals","Oxides","Al₂O₃ dissolves in NaOH to form:","Aluminate","Carbonate","Sulphite","Chloride only","A","Al₂O₃ shows acidic character toward bases, forming aluminate."
"CHE-INC-CNM-438","Chemistry","Chemistry of Non-metals","Ozone","Ozone is thermodynamically less stable than oxygen because it:","Decomposes to O₂ with heat evolution","Is a noble gas","Is ionic","Has no oxygen atoms","A","Ozone decomposes to more stable oxygen."
"CHE-INC-CNM-439","Chemistry","Chemistry of Non-metals","Ozone","Ozone is used for sterilizing water because it is:","Strong oxidizing agent","Strong reducing agent","Strong base","Inert gas","A","Ozone kills microorganisms by oxidation."
"CHE-INC-CNM-440","Chemistry","Chemistry of Non-metals","Ozone layer depletion","The protective role of ozone is mainly absorption of radiation of wavelength:","Ultraviolet range","Microwave range","Radio range","Infrared only","A","Ozone absorbs harmful ultraviolet radiation."
"CHE-INC-CNM-441","Chemistry","Chemistry of Non-metals","Ammonia","Which pair of gases gives dense white fumes?","NH₃ and HCl","NH₃ and O₂","H₂ and O₂","N₂ and O₂","A","NH₃ and HCl form solid NH₄Cl particles."
"CHE-INC-CNM-442","Chemistry","Chemistry of Non-metals","Ammonia","Ammonia forms ammonium salts because it:","Accepts protons","Donates protons","Oxidizes metals only","Contains oxygen","A","NH₃ accepts H⁺ to form NH₄⁺."
"CHE-INC-CNM-443","Chemistry","Chemistry of Non-metals","Ammonia","In NH₄⁺ ion, the shape is:","Tetrahedral","Trigonal pyramidal","Linear","Bent","A","NH₄⁺ has four bond pairs and no lone pair on nitrogen."
"CHE-INC-CNM-444","Chemistry","Chemistry of Non-metals","Phosphine","In PH₄⁺ ion, phosphorus has:","Four P-H bonds and no lone pair","Three bonds and one lone pair","Two lone pairs","No bonds","A","Protonation of PH₃ gives tetrahedral PH₄⁺."
"CHE-INC-CNM-445","Chemistry","Chemistry of Non-metals","Nitric acid","The brown gas produced during thermal decomposition of HNO₃ is:","NO₂","NO","N₂O","NH₃","A","NO₂ is brown."
"CHE-INC-CNM-446","Chemistry","Chemistry of Non-metals","Nitric acid","The gas NO formed from dilute HNO₃ and copper turns brown in air because it forms:","NO₂","N₂O","NH₃","N₂","A","NO is oxidized by oxygen to brown NO₂."
"CHE-INC-CNM-447","Chemistry","Chemistry of Non-metals","Nitric acid","Which metal is commonly passivated by concentrated HNO₃?","Iron","Sodium","Calcium","Barium","A","Iron forms a protective oxide film in concentrated nitric acid."
"CHE-INC-CNM-448","Chemistry","Chemistry of Non-metals","Nitric acid","Nitric acid reacts with proteins to give yellow colour because of:","Nitration of aromatic amino acids","Hydrogenation","Hydration","Reduction of proteins to sugar","A","Xanthoproteic reaction involves nitration of aromatic rings in proteins."
"CHE-INC-CNM-449","Chemistry","Chemistry of Non-metals","Halogens","Which halogen is most volatile among Cl₂, Br₂ and I₂?","Cl₂","Br₂","I₂","All equal","A","Volatility decreases with increasing molecular mass and intermolecular force."
"CHE-INC-CNM-450","Chemistry","Chemistry of Non-metals","Halogens","Which halogen has the highest boiling point among Cl₂, Br₂ and I₂?","I₂","Br₂","Cl₂","All equal","A","Boiling point increases down the group due to stronger dispersion forces."
"CHE-INC-CNM-451","Chemistry","Chemistry of Non-metals","Chlorine","Chlorine is dried by passing through concentrated H₂SO₄ because H₂SO₄:","Removes moisture","Reduces chlorine","Forms bleaching powder","Turns chlorine into HCl","A","Concentrated H₂SO₄ is a dehydrating agent."
"CHE-INC-CNM-452","Chemistry","Chemistry of Non-metals","Chlorine","Chlorine should not be dried by quicklime because it:","Reacts with chlorine","Cannot absorb water","Is acidic","Forms ammonia","A","Quicklime reacts with chlorine to form bleaching powder."
"CHE-INC-CNM-453","Chemistry","Chemistry of Non-metals","Bromine","When bromine water is added to phenol, it gives:","White precipitate of tribromophenol","Black precipitate of PbS","Blue starch complex","Brown ring","A","Phenol reacts with bromine water to form 2,4,6-tribromophenol."
"CHE-INC-CNM-454","Chemistry","Chemistry of Non-metals","Iodine","The blue starch-iodine colour is due to iodine entering:","Helical amylose structure","Calcium lattice","Iron complex","Protein chain only","A","Iodine forms an inclusion complex with amylose."
"CHE-INC-CNM-455","Chemistry","Chemistry of Non-metals","Halogen acids","Which hydrogen halide has the highest boiling point due to hydrogen bonding?","HF","HCl","HBr","HI","A","HF forms strong hydrogen bonds."
"CHE-INC-CNM-456","Chemistry","Chemistry of Non-metals","Halogen acids","Although HF has high boiling point, it is weakest acid because:","H-F bond is very strong","It has no hydrogen","It is fully ionic","It contains oxygen","A","Strong H-F bond resists ionization."
"CHE-INC-CNM-457","Chemistry","Chemistry of Non-metals","HCl","Which reagent confirms chloride ion from HCl solution?","AgNO₃ solution","BaCl₂ solution","FeSO₄ solution","KMnO₄ only","A","Ag⁺ gives white AgCl precipitate with Cl⁻."
"CHE-INC-CNM-458","Chemistry","Chemistry of Non-metals","HBr","The cream precipitate of AgBr is soluble in:","Concentrated ammonia with difficulty","Water easily","Dilute HCl","Carbon tetrachloride","A","AgBr dissolves in concentrated ammonia, less readily than AgCl."
"CHE-INC-CNM-459","Chemistry","Chemistry of Non-metals","HI","AgI is not soluble in ammonia because:","It has very low solubility","It is highly volatile","It is a gas","It decomposes to ozone","A","AgI is highly insoluble and does not dissolve in ammonia."
"CHE-INC-CNM-460","Chemistry","Chemistry of Non-metals","Carbon allotropes","The density of diamond is higher than graphite mainly because:","Its atoms are more closely packed in 3D network","It contains metal ions","It has water molecules","It is amorphous","A","Diamond has compact three-dimensional covalent structure."
"CHE-INC-CNM-461","Chemistry","Chemistry of Non-metals","Carbon allotropes","Which allotrope contains both pentagons and hexagons in its cage?","C₆₀ fullerene","Diamond","Graphite","Charcoal","A","C₆₀ contains 12 pentagons and 20 hexagons."
"CHE-INC-CNM-462","Chemistry","Chemistry of Non-metals","Carbon monoxide","CO forms coordinate bond with metal ions because it has:","Lone pair on carbon","No electrons","Only ionic bond","Extra proton","A","CO donates lone pair from carbon to metal centers."
"CHE-INC-CNM-463","Chemistry","Chemistry of Non-metals","Carbon monoxide","The poisonous nature of CO is reduced by giving patient:","Oxygen","Nitrogen","Carbon dioxide only","Chlorine","A","Oxygen helps displace CO from haemoglobin."
"CHE-INC-CNM-464","Chemistry","Chemistry of Non-metals","Carbon monoxide","Which gas is called carbonic oxide?","CO","CO₂","CH₄","C₂H₂","A","Carbon monoxide is historically called carbonic oxide."
"CHE-INC-CNM-465","Chemistry","Chemistry of Non-metals","Hydrogen sulphide","Which metal sulphide is black?","PbS","ZnS","CdS","MnS","A","Lead sulphide is black."
"CHE-INC-CNM-466","Chemistry","Chemistry of Non-metals","Hydrogen sulphide","Which sulphide is yellow?","CdS","PbS","CuS","FeS","A","Cadmium sulphide is yellow."
"CHE-INC-CNM-467","Chemistry","Chemistry of Non-metals","Hydrogen sulphide","H₂S precipitates group II cations in acidic medium because:","Sulphide ion concentration is low but enough for very insoluble sulphides","All sulphides are equally soluble","H₂S is strong acid","Acid increases S²⁻ greatly","A","Only very insoluble sulphides precipitate in acidic medium."
"CHE-INC-CNM-468","Chemistry","Chemistry of Non-metals","Sulfur dioxide","SO₂ is a bent molecule because sulfur has:","One lone pair and two bond regions","No lone pair","Four identical bonds","Linear hybridization only","A","SO₂ has bent shape due to lone pair on sulfur and resonance."
"CHE-INC-CNM-469","Chemistry","Chemistry of Non-metals","Sulfur dioxide","SO₂ is dried by concentrated H₂SO₄ because it:","Does not react significantly with SO₂","Neutralizes SO₂","Oxidizes all SO₂ instantly","Forms H₂S","A","Concentrated H₂SO₄ removes moisture without consuming SO₂ appreciably."
"CHE-INC-CNM-470","Chemistry","Chemistry of Non-metals","Sulfuric acid","The high boiling point of H₂SO₄ is due to:","Strong hydrogen bonding and association","It being non-polar","Absence of oxygen","Low molecular mass","A","Sulfuric acid molecules associate strongly through hydrogen bonding."
"CHE-INC-CNM-471","Chemistry","Chemistry of Non-metals","Sulfuric acid","The acid salt of sulfuric acid formed with one replaceable hydrogen left is:","Bisulphate","Sulphite","Sulphide","Thiosulphate","A","HSO₄⁻ is hydrogen sulphate or bisulphate."
"CHE-INC-CNM-472","Chemistry","Chemistry of Non-metals","Sulfuric acid","Normal sulphates contain the ion:","SO₄²⁻","HSO₄⁻","SO₃²⁻","S²⁻","A","Normal sulphates contain sulfate ion SO₄²⁻."
"CHE-INC-CNM-473","Chemistry","Chemistry of Non-metals","Sulfuric acid","A test for sulphate ion uses BaCl₂ and dilute HCl to give:","White BaSO₄ precipitate","Black PbS","Blue complex","Brown ring","A","Sulphate gives insoluble white BaSO₄."
"CHE-INC-CNM-474","Chemistry","Chemistry of Non-metals","Sulfuric acid","BaSO₄ precipitate is insoluble in dilute HCl because:","It has very low solubility product","It is volatile","It is basic gas","It forms chlorine","A","Barium sulphate is highly insoluble even in dilute acid."
"CHE-INC-CNM-475","Chemistry","Chemistry of Non-metals","Hydrogen","If 2 g of H₂ burns completely, mass of water formed is:","18 g","9 g","36 g","2 g","A","2 g H₂ is 1 mole and forms 1 mole water, 18 g."
"CHE-INC-CNM-476","Chemistry","Chemistry of Non-metals","Hydrogen","At STP, 22.4 L of H₂ contains moles of hydrogen molecules equal to:","1","2","0.5","22.4","A","22.4 L gas at STP contains 1 mole."
"CHE-INC-CNM-477","Chemistry","Chemistry of Non-metals","Ozone","If 96 g of O₂ is completely converted to ozone, mass of ozone formed is:","96 g","48 g","64 g","144 g","A","Mass is conserved; 96 g oxygen atoms form 96 g ozone."
"CHE-INC-CNM-478","Chemistry","Chemistry of Non-metals","Ozone","If 3 moles of O₂ form ozone completely, volume contraction at same T and P is:","One-third of initial volume","One-half of initial volume","No contraction","Double volume","A","3 volumes O₂ form 2 volumes O₃, contraction = 1/3 of initial."
"CHE-INC-CNM-479","Chemistry","Chemistry of Non-metals","Ammonia","How many litres of H₂ at STP are required to react with 1 L N₂ in Haber process at same conditions?","1 L","2 L","3 L","4 L","C","Gas volume ratio follows mole ratio N₂:H₂ = 1:3."
"CHE-INC-CNM-480","Chemistry","Chemistry of Non-metals","Ammonia","If 28 g of N₂ reacts completely with excess H₂, moles of NH₃ formed are:","1","2","3","4","B","1 mole N₂ forms 2 moles NH₃."
"CHE-INC-CNM-481","Chemistry","Chemistry of Non-metals","Ammonia","The mass of NH₃ formed from 28 g N₂ is:","17 g","34 g","51 g","68 g","B","1 mole N₂ forms 2 moles NH₃ = 34 g."
"CHE-INC-CNM-482","Chemistry","Chemistry of Non-metals","Nitric acid","In HNO₃, percentage by mass of nitrogen is approximately:","22.2 percent","14 percent","50 percent","63 percent","A","Molar mass HNO₃ = 63; nitrogen percentage = 14/63 ×100 = 22.2%."
"CHE-INC-CNM-483","Chemistry","Chemistry of Non-metals","Chlorine","Volume of Cl₂ at STP obtained from 1 mole Cl₂ is:","22.4 L","11.2 L","44.8 L","1 L","A","One mole gas occupies 22.4 L at STP."
"CHE-INC-CNM-484","Chemistry","Chemistry of Non-metals","Chlorine","In Cl₂ + 2KI → 2KCl + I₂, 1 mole Cl₂ liberates iodine equal to:","1 mole","2 moles","0.5 mole","3 moles","A","Stoichiometry shows 1 mole Cl₂ liberates 1 mole I₂."
"CHE-INC-CNM-485","Chemistry","Chemistry of Non-metals","Carbon monoxide","Moles of CO required to reduce 1 mole Fe₂O₃ to iron are:","1","2","3","6","C","Fe₂O₃ + 3CO → 2Fe + 3CO₂."
"CHE-INC-CNM-486","Chemistry","Chemistry of Non-metals","Carbon monoxide","Mass of CO₂ formed when 28 g CO burns completely is:","22 g","44 g","88 g","14 g","B","28 g CO is 1 mole and forms 1 mole CO₂ = 44 g."
"CHE-INC-CNM-487","Chemistry","Chemistry of Non-metals","Hydrogen sulphide","If 1 mole H₂S burns completely, moles of SO₂ formed are:","1","2","0.5","3","A","2H₂S + 3O₂ → 2SO₂ + 2H₂O, so 1 mole H₂S gives 1 mole SO₂."
"CHE-INC-CNM-488","Chemistry","Chemistry of Non-metals","Sulfur dioxide","In 2SO₂ + O₂ → 2SO₃, 2 moles SO₂ require oxygen equal to:","1 mole","2 moles","3 moles","0.5 mole","A","Balanced equation shows 2 moles SO₂ require 1 mole O₂."
"CHE-INC-CNM-489","Chemistry","Chemistry of Non-metals","Sulfuric acid","Molar mass of H₂SO₄ is:","98 g mol⁻¹","96 g mol⁻¹","100 g mol⁻¹","64 g mol⁻¹","A","H₂SO₄ molar mass = 2 + 32 + 64 = 98."
"CHE-INC-CNM-490","Chemistry","Chemistry of Non-metals","Sulfuric acid","Equivalent weight of H₂SO₄ as an acid is:","98","49","32","100","B","H₂SO₄ is dibasic, so equivalent weight = 98/2 = 49."
"CHE-INC-CNM-491","Chemistry","Chemistry of Non-metals","Sulfuric acid","Number of moles in 49 g H₂SO₄ is:","0.5","1","2","4","A","Moles = 49/98 = 0.5."
"CHE-INC-CNM-492","Chemistry","Chemistry of Non-metals","Nitric acid","Equivalent weight of HNO₃ as an acid is:","63","31.5","14","126","A","HNO₃ is monobasic, so equivalent weight equals molar mass 63."
"CHE-INC-CNM-493","Chemistry","Chemistry of Non-metals","Ammonia","Molar mass of NH₃ is:","17","14","18","34","A","NH₃ molar mass = 14 + 3 = 17."
"CHE-INC-CNM-494","Chemistry","Chemistry of Non-metals","Phosphine","Molar mass of PH₃ is approximately:","34","17","31","64","A","PH₃ molar mass = 31 + 3 = 34."
"CHE-INC-CNM-495","Chemistry","Chemistry of Non-metals","Carbon monoxide","Molar mass of CO is:","28","44","16","12","A","CO molar mass = 12 + 16 = 28."
"CHE-INC-CNM-496","Chemistry","Chemistry of Non-metals","Hydrogen sulphide","Molar mass of H₂S is:","34","32","36","18","A","H₂S molar mass = 2 + 32 = 34."
"CHE-INC-CNM-497","Chemistry","Chemistry of Non-metals","Sulfur dioxide","Molar mass of SO₂ is:","64","48","80","98","A","SO₂ molar mass = 32 + 32 = 64."
"CHE-INC-CNM-498","Chemistry","Chemistry of Non-metals","Ozone","Molar mass of ozone is:","48","32","16","64","A","O₃ molar mass = 3 × 16 = 48."
"CHE-INC-CNM-499","Chemistry","Chemistry of Non-metals","Chlorine","Molar mass of chlorine gas is approximately:","71","35.5","17.75","142","A","Cl₂ molar mass = 2 × 35.5 = 71."
"CHE-INC-CNM-500","Chemistry","Chemistry of Non-metals","Iodine","Molar mass of iodine molecule is approximately:","254","127","63.5","508","A","I₂ molar mass = 2 × 127 = 254."
Using the same project guideline format for CEE-style MCQs. 

"id","subject","chapter","topic","question","optionA","optionB","optionC","optionD","answer","explanation"
"CHE-BIO-BIC-001","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Elements required by the body in relatively large amounts are called","macronutrients","micronutrients","toxic metals","radioisotopes","A","Macronutrients are needed in larger quantities."
"CHE-BIO-BIC-002","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Elements required by the body in very small amounts are called","micronutrients","macronutrients","major salts only","radioactive elements","A","Micronutrients are essential in trace amounts."
"CHE-BIO-BIC-003","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Which is a macronutrient mineral?","Calcium","Copper","Zinc","Cobalt","A","Calcium is needed in comparatively large amount."
"CHE-BIO-BIC-004","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Which is a micronutrient?","Zinc","Sodium","Potassium","Calcium","A","Zinc is an essential trace element."
"CHE-BIO-BIC-005","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Which pair contains only macronutrient minerals?","Sodium and potassium","Zinc and copper","Cobalt and nickel","Chromium and copper","A","Sodium and potassium are required in larger quantities."
"CHE-BIO-BIC-006","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Which pair contains only micronutrients?","Copper and zinc","Sodium and calcium","Potassium and magnesium","Calcium and sodium","A","Copper and zinc are trace elements."
"CHE-BIO-BIC-007","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Minerals are called essential when they","perform necessary biological functions","are always toxic","are needed only once in life","cannot form ions","A","Essential minerals are required for normal body function."
"CHE-BIO-BIC-008","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Deficiency of essential minerals mainly affects","normal metabolism and body functions","only hair color","only eye color","radioactivity","A","Minerals support enzyme action, nerves, blood, and bones."
"CHE-BIO-BIC-009","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Trace elements are usually needed in","milligram or microgram amounts","kilogram amounts","litre amounts","mole amounts only","A","Trace elements are required in very small quantities."
"CHE-BIO-BIC-010","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Which element is essential but toxic in excess?","Iron","Helium","Neon","Argon","A","Iron is essential, but overload can be toxic."
"CHE-BIO-BIC-011","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Which is not normally considered an essential nutrient metal for humans?","Lead","Iron","Zinc","Copper","A","Lead has no useful biological role and is toxic."
"CHE-BIO-BIC-012","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","The biological role of many metal ions is related to their ability to","act as enzyme cofactors","form noble gases","stop all metabolism","replace DNA bases","A","Many enzymes require metal ions as cofactors."
"CHE-BIO-BIC-013","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Which group contains toxic heavy metals?","Lead, mercury, cadmium","Sodium, potassium, calcium","Magnesium, calcium, sodium","Zinc, iron, copper only","A","Lead, mercury, and cadmium are toxic heavy metals."
"CHE-BIO-BIC-014","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","A balanced mineral intake is important because","both deficiency and excess can be harmful","excess minerals are always harmless","deficiency never occurs","minerals are not absorbed","A","Minerals must remain within safe physiological ranges."
"CHE-BIO-BIC-015","Chemistry","Bio-inorganic Chemistry","Micro and macro nutrients","Which statement is correct?","Some trace elements are essential in small amounts but toxic in excess","All trace elements are poisonous","Macronutrients are never toxic","Metals have no role in biology","A","Essential trace elements must be present in proper amounts."
"CHE-BIO-BIC-016","Chemistry","Bio-inorganic Chemistry","Sodium","The major extracellular cation in human body is","Na+","K+","Mg2+","Fe2+","A","Sodium is the main cation outside cells."
"CHE-BIO-BIC-017","Chemistry","Bio-inorganic Chemistry","Sodium","Sodium ion is important for maintaining","osmotic balance and nerve impulse","hemoglobin oxygen transport","thyroxine synthesis only","bone mineral only","A","Sodium helps control fluid balance and nerve transmission."
"CHE-BIO-BIC-018","Chemistry","Bio-inorganic Chemistry","Sodium","The normal movement of sodium in nerve impulse is important for","depolarization","blood clotting only","DNA replication only","oxygen binding only","A","Sodium influx causes depolarization of nerve membrane."
"CHE-BIO-BIC-019","Chemistry","Bio-inorganic Chemistry","Sodium","Sodium is absorbed mainly as","Na+ ion","Na atom","Na2 molecule","Na- ion","A","In body fluids, sodium exists as Na+."
"CHE-BIO-BIC-020","Chemistry","Bio-inorganic Chemistry","Sodium","Common dietary source of sodium is","common salt","sugar","starch","cellulose only","A","Common salt is sodium chloride."
"CHE-BIO-BIC-021","Chemistry","Bio-inorganic Chemistry","Sodium","Excess sodium intake is commonly associated with","high blood pressure","night blindness","scurvy","rickets only","A","High sodium intake can contribute to hypertension."
"CHE-BIO-BIC-022","Chemistry","Bio-inorganic Chemistry","Sodium","Low sodium level in blood is called","hyponatremia","hyperkalemia","anemia","goitre","A","Hyponatremia means low serum sodium."
"CHE-BIO-BIC-023","Chemistry","Bio-inorganic Chemistry","Sodium","High sodium level in blood is called","hypernatremia","hypokalemia","anemia","osteoporosis","A","Hypernatremia means high serum sodium."
"CHE-BIO-BIC-024","Chemistry","Bio-inorganic Chemistry","Sodium","Sodium balance in body is mainly regulated by","kidneys","lungs only","skin pigment","hair follicles","A","Kidneys regulate sodium and water balance."
"CHE-BIO-BIC-025","Chemistry","Bio-inorganic Chemistry","Sodium","Sodium chloride in body fluids helps maintain","electrolyte balance","genetic code only","vitamin synthesis only","radioactivity","A","NaCl contributes to ionic strength and fluid balance."
"CHE-BIO-BIC-026","Chemistry","Bio-inorganic Chemistry","Potassium","The major intracellular cation is","K+","Na+","Ca2+","Fe3+","A","Potassium is the main cation inside cells."
"CHE-BIO-BIC-027","Chemistry","Bio-inorganic Chemistry","Potassium","Potassium is important for","nerve and muscle function","formation of thyroid hormone only","oxygen transport by hemoglobin","formation of bile only","A","Potassium regulates membrane potential and muscle contraction."
"CHE-BIO-BIC-028","Chemistry","Bio-inorganic Chemistry","Potassium","Potassium ion helps maintain","resting membrane potential","tooth enamel only","blood clotting only","vision pigment only","A","K+ gradients maintain resting membrane potential."
"CHE-BIO-BIC-029","Chemistry","Bio-inorganic Chemistry","Potassium","Low potassium level is called","hypokalemia","hyponatremia","anemia","jaundice","A","Hypokalemia means low blood potassium."
"CHE-BIO-BIC-030","Chemistry","Bio-inorganic Chemistry","Potassium","High potassium level is called","hyperkalemia","hypernatremia","rickets","scurvy","A","Hyperkalemia means high blood potassium."
"CHE-BIO-BIC-031","Chemistry","Bio-inorganic Chemistry","Potassium","Severe potassium imbalance may affect","heart rhythm","hair length only","skin color only","bone color","A","Potassium is essential for cardiac electrical activity."
"CHE-BIO-BIC-032","Chemistry","Bio-inorganic Chemistry","Potassium","Dietary potassium is commonly found in","banana and fruits","pure sugar only","distilled water","table salt only","A","Fruits and vegetables are common potassium sources."
"CHE-BIO-BIC-033","Chemistry","Bio-inorganic Chemistry","Potassium","Potassium usually exists in body fluids as","K+","K-","K2 molecule","neutral K atom","A","Potassium occurs mainly as K+ ion."
"CHE-BIO-BIC-034","Chemistry","Bio-inorganic Chemistry","Potassium","The sodium-potassium gradient across cell membrane is maintained by","Na+/K+ pump","hemoglobin","insulin only","DNA polymerase only","A","Na+/K+ ATPase maintains Na+ and K+ gradients."
"CHE-BIO-BIC-035","Chemistry","Bio-inorganic Chemistry","Potassium","Potassium is classified as a","macromineral","non-essential gas","toxic heavy metal","radioisotope only","A","Potassium is required in larger amounts."
"CHE-BIO-BIC-036","Chemistry","Bio-inorganic Chemistry","Magnesium","Magnesium in biological systems commonly exists as","Mg2+","Mg+","Mg-","Mg atom only","A","Magnesium is present mainly as Mg2+."
"CHE-BIO-BIC-037","Chemistry","Bio-inorganic Chemistry","Magnesium","Magnesium is essential for activation of many","enzymes","noble gases","toxins only","radioisotopes only","A","Mg2+ acts as a cofactor for many enzymes."
"CHE-BIO-BIC-038","Chemistry","Bio-inorganic Chemistry","Magnesium","The central metal ion in chlorophyll is","magnesium","iron","cobalt","zinc","A","Chlorophyll contains Mg2+ at its center."
"CHE-BIO-BIC-039","Chemistry","Bio-inorganic Chemistry","Magnesium","Magnesium is required for proper use of","ATP","lead","mercury","arsenic","A","ATP usually functions as Mg-ATP complex in cells."
"CHE-BIO-BIC-040","Chemistry","Bio-inorganic Chemistry","Magnesium","Magnesium deficiency may cause","muscle cramps and weakness","night blindness only","lead poisoning","mercury poisoning","A","Magnesium is important for nerve and muscle function."
"CHE-BIO-BIC-041","Chemistry","Bio-inorganic Chemistry","Magnesium","Magnesium is found significantly in","bones and intracellular fluid","only blood plasma","only hair","only bile","A","Magnesium is stored mainly in bones and cells."
"CHE-BIO-BIC-042","Chemistry","Bio-inorganic Chemistry","Magnesium","Dietary sources of magnesium include","green leafy vegetables and nuts","refined sugar only","pure salt","distilled water","A","Green vegetables and nuts provide magnesium."
"CHE-BIO-BIC-043","Chemistry","Bio-inorganic Chemistry","Magnesium","Magnesium is classified as","macronutrient mineral","toxic heavy metal","non-essential gas","radioactive element","A","Magnesium is needed in relatively large amount."
"CHE-BIO-BIC-044","Chemistry","Bio-inorganic Chemistry","Magnesium","In plants, magnesium deficiency directly affects","photosynthesis","nitrogen fixation only","transpiration only","fruit sweetness only","A","Magnesium is part of chlorophyll and affects photosynthesis."
"CHE-BIO-BIC-045","Chemistry","Bio-inorganic Chemistry","Magnesium","Mg2+ helps stabilize","ATP and nucleic acids","carbon monoxide only","lead salts","mercury vapour","A","Mg2+ stabilizes phosphate-containing biomolecules."
"CHE-BIO-BIC-046","Chemistry","Bio-inorganic Chemistry","Zinc","Zinc commonly acts in the body as","enzyme cofactor","oxygen carrier in hemoglobin","main extracellular cation","bone mineral only","A","Zinc is a cofactor for many enzymes."
"CHE-BIO-BIC-047","Chemistry","Bio-inorganic Chemistry","Zinc","The common oxidation state of zinc in biological systems is","+2","+1","+3","0 only","A","Zinc usually exists as Zn2+."
"CHE-BIO-BIC-048","Chemistry","Bio-inorganic Chemistry","Zinc","Zinc is important for","wound healing and immunity","oxygen transport by hemoglobin","thyroxine synthesis only","nerve impulse by Na+ only","A","Zinc supports immune function and tissue repair."
"CHE-BIO-BIC-049","Chemistry","Bio-inorganic Chemistry","Zinc","Zinc is present in the enzyme","carbonic anhydrase","hemoglobin","chlorophyll","vitamin B12","A","Carbonic anhydrase is a zinc-containing enzyme."
"CHE-BIO-BIC-050","Chemistry","Bio-inorganic Chemistry","Zinc","Carbonic anhydrase helps in transport of","carbon dioxide","oxygen only","nitrogen","chlorine","A","It catalyzes interconversion of CO2 and bicarbonate."
"CHE-BIO-BIC-051","Chemistry","Bio-inorganic Chemistry","Zinc","Zinc deficiency may cause","poor wound healing","lead poisoning","rickets only","scurvy only","A","Zinc deficiency impairs healing and immunity."
"CHE-BIO-BIC-052","Chemistry","Bio-inorganic Chemistry","Zinc","Zinc is needed for synthesis and function of","many proteins and enzymes","arsenic compounds","mercury vapour","lead oxide","A","Zinc stabilizes many protein structures."
"CHE-BIO-BIC-053","Chemistry","Bio-inorganic Chemistry","Zinc","Which food is a good source of zinc?","Meat and legumes","pure sugar","distilled water","table salt only","A","Meat, pulses, and nuts provide zinc."
"CHE-BIO-BIC-054","Chemistry","Bio-inorganic Chemistry","Zinc","Zinc is classified as a","trace element","major atmospheric gas","macromolecule","toxic non-metal only","A","Zinc is an essential trace element."
"CHE-BIO-BIC-055","Chemistry","Bio-inorganic Chemistry","Zinc","Zinc fingers in proteins are important for","DNA binding and gene regulation","blood clotting only","bone hardness only","salt formation","A","Zinc finger proteins bind DNA and regulate genes."
"CHE-BIO-BIC-056","Chemistry","Bio-inorganic Chemistry","Copper","Copper commonly exists biologically as","Cu+ and Cu2+","Cu3+ only","Cu- only","neutral Cu atoms only","A","Copper can cycle between Cu+ and Cu2+ in enzymes."
